Period,Gold,Silver,Platinum
Jan-20,1527.10,17.98,966
Jan-20,1548.75,18.11,982
Jan-20,1573.10,18.12,960
Jan-20,1567.85,18.32,969
Jan-20,1571.95,18.18,954
Jan-20,1550.75,17.91,968
Jan-20,1553.60,18.14,981
Jan-20,1549.90,18.02,977
Jan-20,1545.10,17.75,983
Jan-20,1549.00,17.98,1021
Jan-20,1554.55,17.97,1000
Jan-20,1557.60,18.05,1025
Jan-20,1551.30,17.85,1005
Jan-20,1556.90,17.83,1015
Jan-20,1562.90,17.83,1007
Jan-20,1564.30,18.06,1007
Jan-20,1580.10,18.20,987
Jan-20,1574.00,17.54,989
Jan-20,1573.45,17.47,979
Jan-20,1578.25,18.00,977
Jan-20,1584.20,18.02,959
Feb-20,1574.75,17.67,970
Feb-20,1558.35,17.58,966
Feb-20,1553.30,17.62,984
Feb-20,1563.30,17.84,963
Feb-20,1572.65,17.70,969
Feb-20,1573.20,17.81,964
Feb-20,1570.50,17.61,971
Feb-20,1563.70,17.56,963
Feb-20,1575.05,17.67,973
Feb-20,1581.40,17.76,966
Feb-20,1589.85,18.18,992
Feb-20,1604.20,18.28,1006
Feb-20,1619.00,18.41,979
Feb-20,1643.30,18.52,975
Feb-20,1671.65,18.81,966
Feb-20,1650.30,18.23,934
Feb-20,1634.90,17.93,915
Feb-20,1652.00,17.84,915
Feb-20,1609.85,16.79,862
Mar-20,1599.65,16.81,863
Mar-20,1615.50,17.27,871
Mar-20,1641.85,17.16,878
Mar-20,1659.60,17.36,868
Mar-20,1683.65,17.17,901
Mar-20,1672.50,16.91,868
Mar-20,1655.70,16.86,874
Mar-20,1653.75,16.89,867
Mar-20,1570.70,15.59,769
Mar-20,1562.80,14.78,762
Mar-20,1487.70,12.92,658
Mar-20,1536.20,12.53,663
Mar-20,1498.20,12.13,624
Mar-20,1474.25,12.16,591
Mar-20,1494.40,12.54,612
Mar-20,1525.40,12.88,641
Mar-20,1605.75,14.02,709
Mar-20,1605.45,14.36,742
Mar-20,1634.80,14.47,739
Mar-20,1617.30,14.39,746
Mar-20,1618.30,14.04,723
Mar-20,1608.95,14.25,730
Apr-20,1576.55,14.02,721
Apr-20,1616.80,14.40,732
Apr-20,1613.10,14.39,724
Apr-20,1648.30,14.75,740
Apr-20,1649.25,15.19,737
Apr-20,1647.80,14.96,736
Apr-20,1680.65,15.40,745
Apr-20,1741.90,15.73,780
Apr-20,1718.65,15.41,780
Apr-20,1729.50,15.39,781
Apr-20,1692.55,15.14,774
Apr-20,1686.20,15.41,774
Apr-20,1682.05,14.85,750
Apr-20,1710.55,15.03,759
Apr-20,1736.25,15.29,759
Apr-20,1715.90,15.08,764
Apr-20,1714.95,15.22,763
Apr-20,1691.55,15.06,776
Apr-20,1703.35,15.22,777
Apr-20,1702.75,15.01,779
May-20,1686.25,14.94,763
May-20,1709.10,14.90,766
May-20,1699.55,14.95,774
May-20,1691.50,14.97,755
May-20,1704.05,15.27,765
May-20,1702.75,15.42,760
May-20,1702.40,15.56,760
May-20,1708.40,15.50,755
May-20,1731.60,15.78,767
May-20,1735.35,16.61,798
May-20,1734.70,17.09,820
May-20,1737.95,17.39,840
May-20,1748.30,17.50,842
May-20,1724.90,17.10,835
May-20,1733.55,17.09,836
May-20,1720.25,17.18,841
May-20,1694.60,17.13,840
May-20,1717.35,17.48,825
May-20,1728.70,17.84,838
Jun-20,1730.60,18.31,851
Jun-20,1742.15,17.91,847
Jun-20,1705.35,17.71,835
Jun-20,1700.05,17.77,845
Jun-20,1683.45,17.34,819
Jun-20,1690.35,17.53,840
Jun-20,1713.50,17.70,838
Jun-20,1722.05,17.82,840
Jun-20,1738.25,17.83,812
Jun-20,1733.50,17.55,811
Jun-20,1710.45,17.27,828
Jun-20,1719.85,17.42,829
Jun-20,1724.35,17.51,824
Jun-20,1719.50,17.37,809
Jun-20,1734.75,17.73,815
Jun-20,1761.85,17.86,828
Jun-20,1768.90,17.92,833
Jun-20,1766.05,17.58,806
Jun-20,1756.55,17.74,805
Jun-20,1747.60,17.80,807
Jun-20,1771.60,17.83,817
Jun-20,1768.10,18.19,830
Jul-20,1771.05,17.99,824
Jul-20,1777.45,18.04,813
Jul-20,1787.90,18.26,825
Jul-20,1789.55,18.33,842
Jul-20,1811.10,18.68,848
Jul-20,1812.10,18.64,838
Jul-20,1803.10,18.71,827
Jul-20,1807.50,19.24,843
Jul-20,1801.90,19.19,828
Jul-20,1804.60,19.31,836
Jul-20,1807.70,19.36,829
Jul-20,1807.35,19.37,841
Jul-20,1815.65,19.76,849
Jul-20,1842.55,21.02,889
Jul-20,1852.40,22.44,914
Jul-20,1878.30,22.93,920
Jul-20,1902.10,22.66,920
Jul-20,1936.65,24.25,942
Jul-20,1940.90,24.57,955
Jul-20,1950.90,24.17,953
Jul-20,1957.65,23.24,902
Jul-20,1964.90,24.10,903
Aug-20,1958.55,24.25,922
Aug-20,1977.90,25.41,937
Aug-20,2048.15,26.81,970
Aug-20,2067.15,28.14,996
Aug-20,2031.15,27.85,1007
Aug-20,2044.50,28.99,986
Aug-20,1939.65,27.05,938
Aug-20,1931.90,25.86,934
Aug-20,1944.25,26.69,957
Aug-20,1944.75,26.66,945
Aug-20,1972.85,27.37,952
Aug-20,2008.75,27.82,954
Aug-20,1981.00,27.45,962
Aug-20,1927.15,27.16,922
Aug-20,1924.35,26.76,925
Aug-20,1943.95,26.65,918
Aug-20,1911.15,26.39,932
Aug-20,1932.95,27.01,933
Aug-20,1923.85,27.09,926
Aug-20,1957.35,27.55,932
Sep-20,1972.35,28.43,942
Sep-20,1947.05,27.46,907
Sep-20,1940.45,26.75,896
Sep-20,1926.30,26.43,910
Sep-20,1910.95,26.49,907
Sep-20,1947.20,26.79,926
Sep-20,1966.25,27.12,932
Sep-20,1947.40,26.94,931
Sep-20,1958.70,27.19,959
Sep-20,1949.35,27.12,981
Sep-20,1961.80,27.35,971
Sep-20,1936.25,26.89,935
Sep-20,1950.85,26.94,933
Sep-20,1909.35,24.52,882
Sep-20,1906.00,24.32,872
Sep-20,1873.40,23.08,843
Sep-20,1861.75,22.72,848
Sep-20,1859.70,22.91,855
Sep-20,1864.30,23.35,888
Sep-20,1883.95,23.99,890
Sep-20,1886.90,23.81,897
Oct-20,1902.00,24.12,903
Oct-20,1903.05,23.83,883
Oct-20,1909.60,24.36,899
Oct-20,1913.40,23.83,859
Oct-20,1884.50,23.71,867
Oct-20,1887.45,23.88,869
Oct-20,1923.25,24.66,891
Oct-20,1925.50,25.07,877
Oct-20,1891.30,24.20,869
Oct-20,1910.05,24.25,862
Oct-20,1891.90,24.10,867
Oct-20,1905.05,24.26,867
Oct-20,1905.60,24.61,858
Oct-20,1898.40,24.80,881
Oct-20,1924.15,25.07,893
Oct-20,1900.95,24.54,889
Oct-20,1903.65,24.58,908
Oct-20,1898.45,24.43,877
Oct-20,1905.70,24.47,885
Oct-20,1869.95,23.51,874
Oct-20,1870.30,23.25,854
Oct-20,1881.85,23.55,849
Nov-20,1889.90,23.98,863
Nov-20,1908.30,24.21,870
Nov-20,1900.15,23.99,872
Nov-20,1938.45,25.03,898
Nov-20,1940.80,25.51,896
Nov-20,1867.30,23.75,871
Nov-20,1878.70,24.37,887
Nov-20,1860.95,24.24,866
Nov-20,1874.85,24.34,884
Nov-20,1890.90,24.69,896
Nov-20,1885.60,24.81,925
Nov-20,1889.05,24.54,937
Nov-20,1876.10,24.55,948
Nov-20,1857.35,23.92,950
Nov-20,1875.70,24.33,954
Nov-20,1840.20,23.59,931
Nov-20,1799.60,23.20,930
Nov-20,1810.20,23.38,965
Nov-20,1779.30,22.65,963
Nov-20,1762.55,22.57,971
Dec-20,1810.75,23.78,1002
Dec-20,1822.60,23.96,1014
Dec-20,1832.35,23.99,1035
Dec-20,1843.00,24.12,1064
Dec-20,1859.95,24.67,1035
Dec-20,1868.15,24.59,1028
Dec-20,1841.75,24.09,999
Dec-20,1844.35,24.01,1029
Dec-20,1842.00,24.02,1019
Dec-20,1831.15,23.91,1011
Dec-20,1850.65,24.50,1038
Dec-20,1851.95,24.95,1033
Dec-20,1890.75,25.88,1047
Dec-20,1879.75,25.87,1038
Dec-20,1880.00,26.20,1040
Dec-20,1877.10,25.30,1005
Dec-20,1875.00,25.66,1019
Dec-20,1874.30,26.30,1057
Dec-20,1887.60,26.41,1073
Jan-21,1943.20,27.20,1087
Jan-21,1940.35,27.49,1071
Jan-21,1931.95,26.92,1110
Jan-21,1920.10,27.12,1123
Jan-21,1862.90,25.59,1067
Jan-21,1847.25,25.24,1040
Jan-21,1841.25,25.38,1073
Jan-21,1858.85,25.49,1105
Jan-21,1841.75,25.60,1121
Jan-21,1839.00,24.81,1078
Jan-21,1834.70,25.28,1085
Jan-21,1856.60,25.70,1115
Jan-21,1862.10,25.77,1129
Jan-21,1852.70,25.50,1106
Jan-21,1856.85,25.40,1100
Jan-21,1856.60,25.47,1104
Jan-21,1843.00,25.26,1104
Jan-21,1853.70,26.21,1068
Jan-21,1863.80,27.17,1077
Feb-21,1862.95,28.65,1133
Feb-21,1833.10,26.75,1093
Feb-21,1835.45,26.95,1106
Feb-21,1785.90,26.18,1102
Feb-21,1802.95,26.96,1125
Feb-21,1835.25,27.56,1167
Feb-21,1839.60,27.33,1181
Feb-21,1842.65,27.04,1243
Feb-21,1840.10,27.06,1238
Feb-21,1816.35,27.32,1253
Feb-21,1817.30,27.63,1307
Feb-21,1794.25,27.18,1265
Feb-21,1780.70,27.28,1255
Feb-21,1773.15,27.08,1276
Feb-21,1786.20,27.46,1275
Feb-21,1807.45,27.95,1277
Feb-21,1799.65,27.63,1235
Feb-21,1788.00,27.85,1260
Feb-21,1779.65,27.79,1228
Feb-21,1742.85,26.24,1186
Mar-21,1734.15,26.86,1192
Mar-21,1723.85,26.65,1209
Mar-21,1711.40,26.37,1177
Mar-21,1712.10,26.17,1169
Mar-21,1696.25,24.97,1133
Mar-21,1687.05,25.15,1148
Mar-21,1716.90,25.94,1176
Mar-21,1716.20,26.04,1207
Mar-21,1724.25,26.10,1198
Mar-21,1704.80,25.76,1205
Mar-21,1723.65,26.12,1218
Mar-21,1735.00,25.96,1216
Mar-21,1729.65,25.98,1215
Mar-21,1725.90,26.24,1211
Mar-21,1735.20,26.24,1200
Mar-21,1736.15,25.70,1187
Mar-21,1726.20,25.28,1171
Mar-21,1730.50,25.25,1171
Mar-21,1737.30,24.93,1152
Mar-21,1731.80,25.07,1184
Mar-21,1705.95,24.70,1176
Mar-21,1683.95,24.17,1157
Mar-21,1691.05,24.35,1182
Apr-21,1726.05,24.75,1199
Apr-21,1727.25,24.90,1204
Apr-21,1744.65,25.28,1221
Apr-21,1738.05,25.18,1241
Apr-21,1755.50,25.49,1223
Apr-21,1741.20,25.27,1203
Apr-21,1732.85,24.81,1181
Apr-21,1747.95,25.39,1167
Apr-21,1735.55,25.43,1180
Apr-21,1757.20,25.96,1189
Apr-21,1774.45,26.08,1199